Name,Location,State,Rank,Tuition and fees,Undergrad Enrollment
Princeton University,Princeton, NJ,1,"$45,320","5,402.00"
Harvard University,Cambridge, MA,2,"$47,074","6,699.00"
University of Chicago,Chicago, IL,3,"$52,491","5,844.00"
Yale University,New Haven, CT,3,"$49,480","5,532.00"
Columbia University,New York, NY,5,"$55,056","6,102.00"
Stanford University,Stanford, CA,5,"$47,940","6,999.00"
Massachusetts Institute of Technology,Cambridge, MA,7.5,"$48,452","4,527.00"
Duke University,Durham, NC,8,"-$51,265","6,639.00"
University of Pennsylvania,Philadelphia, PA,8,"$51,464","9,726.00"
Johns Hopkins University,Baltimore, MD,10,"$50,410","6,524.00"
Dartmouth College,Hanover, NH,11,"$51,438","4,307.00"
California Institute of Technology,Pasadena, CA,12,"$47,577","1,001.00"
Northwestern University,Evanston, IL,12,"$50,855","8,314.00"
Brown University,Providence, RI,14,"$51,367","6,652.00"
Cornell University,Ithaca, NY,15,"$50,953","14,315.00"
Rice University,Houston, TX,15,"$43,918","3,910.00"
University of Notre Dame,Notre Dame, IN,15,"$49,685","8,462.00"
Vanderbilt University,Nashville, TN,15,"$45,610","6,883.00"
Washington University in St. Louis,St. Louis, MO,19,"$49,770","7,504.00"
Emory University,Atlanta, GA,20,"$47,954","6,867.00"
Georgetown University,Washington, DC,20,"$50,547","7,562.00"
University of California--Berkeley,Berkeley, CA,20.3,"$40,191","27,496.00"
University of Southern California,Los Angeles, CA,23,"$52,217","18,810.00"
Carnegie Mellon University,Pittsburgh, PA,24,"$52,040","6,454.00"
University of California--Los Angeles,Los Angeles, CA,24,"$39,518","29,585.00"
University of Virginia,Charlottesville, VA,24,"$45,066","16,736.00"
Tufts University,Medford, MA,27,"$52,430","5,290.00"
University of Michigan--Ann Arbor,Ann Arbor, MI,27.7,"$43,476","28,312.00"
Wake Forest University,Winston-Salem, NC,27,"$49,308","4,871.00"
University of North Carolina--Chapel Hill,Chapel Hill, NC,30,"$33,916","18,415.00"
